locale,review_id,author,rating,review_text,date,app_version
en-np,9090cd4e-3c5b-4a09-91e1-8c493e12158f,Bipin Lama,5,International garna pareu esewa lai pllz,2020-06-27T18:12:41,
en-np,5b528cc9-6088-43d6-94a8-d3f169defdba,CHIRANN,3,Good,2020-06-27T18:06:03,3.7.4.3
en-np,c0f29595-1e53-4ae8-b355-9f30c8d1dc6e,dardsahtehain g,4,Wow e sewa Nepal ka mast app hai,2020-06-27T13:41:56,3.7.4.3
en-np,4a4debad-a69a-4efa-9970-ae2f6e4849da,Dimpal Rai,5,It is good,2020-06-27T13:40:04,
en-np,f01d6340-77fa-441c-af87-02f11850f25d,GMG CHOR !!,2,Bro my esewa id is band plz help ma,2020-06-27T13:18:33,
en-np,99057fbb-76fe-40ac-b0a8-3bcc4ee25f5d,Rider Gaming,5,"I am old man for using esewa so, I am request you please me give some earn money",2020-06-27T12:40:25,3.7.4.3
en-np,295131e3-5f09-44d1-8d06-968ac1823ef0,Rajkumar KC (Riyaj kshetri),1,sheet jyz,2020-06-27T07:07:35,3.7.4.2
en-np,dc3e13bd-dc6f-4280-a952-f8546b6168e5,Sha Dow,1,Fuc* your app,2020-06-27T06:46:29,
en-np,2e43715e-5c9a-4827-9799-e92197eb8779,Hem Raj Bhatt,5,Best app😍😍,2020-06-27T06:26:37,3.7.4.3
en-np,d78eff9f-7cb7-4697-80cb-a3c1f307e02b,#biren lama#,2,It's fine but if you need any assistant no body will replies your message. Very bad experience customer service.,2020-06-27T06:02:58,3.7.4.3
en-np,39cbbfe0-1640-49c1-bf0b-e8933e644c9d,Manish Dahal,5,I think it is good,2020-06-27T04:30:23,3.7.4.3
en-np,1fcdbfd5-6a80-41fa-b943-05d2ea1e082b,Krishna Krishna,1,Very insecure 😂 apps...!!! Don't know at what time it gets block. I heartly suggest to use IME PAY or KHALTI instead of this esewa...!!!,2020-06-27T04:15:16,3.7.4.2
en-np,38bd1af3-1a40-4212-a4e4-bb788d9b9f7e,Saurav paude,5,Good to use and perfect in its self,2020-06-27T03:00:01,
en-np,89418cc2-ae2f-46ae-8cac-27994bf8baef,Kshitiz Shrestha,3,Could be better.,2020-06-27T01:11:12,3.7.4.3
